Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,France,St Martin,2020-03-31,15,1,2,15,1,2,0.2,0.3333333333333333,0.6666666666666666,3,
4,France,St Martin,2020-04-30,38,3,24,35,2,22,0.6857142857142857,0.08333333333333333,0.9166666666666666,24,0.25
5,France,St Martin,2020-05-31,41,3,33,14,0,9,0.6428571428571429,0.0,1.0,9,0.08333333333333337
6,France,St Martin,2020-06-30,43,3,37,7,0,4,0.5714285714285714,0.0,1.0,4,0.0
7,France,St Martin,2020-07-31,53,3,41,13,0,4,0.3076923076923077,0.0,1.0,4,0.0
8,France,St Martin,2020-08-31,213,5,79,169,2,38,0.23668639053254437,0.05,0.95,40,-0.050000000000000044
9,France,St Martin,2020-09-30,383,8,273,299,3,194,0.6588628762541806,0.015228426395939087,0.9847715736040609,197,0.03477157360406091
10,France,St Martin,2020-10-31,566,9,488,285,1,215,0.7578947368421053,0.004629629629629629,0.9953703703703703,216,0.010598796766309482
11,France,St Martin,2020-11-30,717,12,641,220,3,153,0.7090909090909091,0.019230769230769232,0.9807692307692307,156,-0.014601139601139623
12,France,St Martin,2020-12-31,995,12,855,342,0,214,0.6257309941520468,0.0,1.0,214,0.019230769230769273
13,France,St Martin,2021-01-10,1025,12,855,158,0,0,0.0,,,0,
