Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
13,Syria,,2020-03-26,5,0,0,5,0,0,0.0,,,0,
14,Syria,,2020-03-31,10,2,0,10,2,0,0.2,1.0,0.0,2,
15,Syria,,2020-04-05,19,2,2,17,0,2,0.11764705882352941,0.0,1.0,2,1.0
16,Syria,,2020-04-10,19,2,4,15,0,2,0.13333333333333333,0.0,1.0,2,0.0
17,Syria,,2020-04-15,33,2,5,27,0,1,0.037037037037037035,0.0,1.0,1,0.0
18,Syria,,2020-04-20,39,3,5,32,1,0,0.03125,1.0,0.0,1,-1.0
19,Syria,,2020-04-25,42,3,11,34,0,6,0.17647058823529413,0.0,1.0,6,1.0
20,Syria,,2020-04-30,43,3,21,29,0,10,0.3448275862068966,0.0,1.0,10,0.0
21,Syria,,2020-05-05,44,3,27,20,0,6,0.3,0.0,1.0,6,0.0
22,Syria,,2020-05-10,47,3,29,17,0,2,0.11764705882352941,0.0,1.0,2,0.0
23,Syria,,2020-05-15,50,3,36,18,0,7,0.3888888888888889,0.0,1.0,7,0.0
24,Syria,,2020-05-20,58,3,36,19,0,0,0.0,,,0,
25,Syria,,2020-05-25,106,4,41,67,1,5,0.08955223880597014,0.16666666666666666,0.8333333333333334,6,
26,Syria,,2020-05-30,122,4,43,77,0,2,0.025974025974025976,0.0,1.0,2,0.16666666666666663
27,Syria,,2020-06-04,124,6,53,77,2,10,0.15584415584415584,0.16666666666666666,0.8333333333333334,12,-0.16666666666666663
28,Syria,,2020-06-09,146,6,62,87,0,9,0.10344827586206896,0.0,1.0,9,0.16666666666666663
29,Syria,,2020-06-14,177,6,74,109,0,12,0.11009174311926606,0.0,1.0,12,0.0
30,Syria,,2020-06-19,187,7,78,107,1,4,0.04672897196261682,0.2,0.8,5,-0.19999999999999996
31,Syria,,2020-06-24,231,7,94,146,0,16,0.1095890410958904,0.0,1.0,16,0.19999999999999996
32,Syria,,2020-06-29,269,9,102,168,2,8,0.05952380952380952,0.2,0.8,10,-0.19999999999999996
33,Syria,,2020-07-04,338,10,123,227,1,21,0.09691629955947137,0.045454545454545456,0.9545454545454546,22,0.15454545454545454
34,Syria,,2020-07-09,372,14,126,239,4,3,0.029288702928870293,0.5714285714285714,0.42857142857142855,7,-0.525974025974026
35,Syria,,2020-07-14,439,21,138,299,7,12,0.06354515050167224,0.3684210526315789,0.631578947368421,19,0.20300751879699247
36,Syria,,2020-07-19,496,25,144,337,4,6,0.02967359050445104,0.4,0.6,10,-0.03157894736842104
37,Syria,,2020-07-24,608,35,184,439,10,40,0.11389521640091116,0.2,0.8,50,0.20000000000000007
38,Syria,,2020-07-29,717,40,229,498,5,45,0.10040160642570281,0.1,0.9,50,0.09999999999999998
39,Syria,,2020-08-03,847,46,268,578,6,39,0.07785467128027682,0.13333333333333333,0.8666666666666667,45,-0.033333333333333326
40,Syria,,2020-08-08,1125,50,331,811,4,63,0.08261405672009864,0.05970149253731343,0.9402985074626866,67,0.07363184079601992
41,Syria,,2020-08-13,1432,55,395,1051,5,64,0.06565176022835395,0.07246376811594203,0.927536231884058,69,-0.012762275578628635
42,Syria,,2020-08-18,1844,73,425,1394,18,30,0.03443328550932568,0.375,0.625,48,-0.302536231884058
43,Syria,,2020-08-23,2217,89,505,1719,16,80,0.055846422338568937,0.16666666666666666,0.8333333333333334,96,0.20833333333333337
44,Syria,,2020-08-28,2563,103,584,1969,14,79,0.047232097511427124,0.15053763440860216,0.8494623655913979,93,0.016129032258064502
45,Syria,,2020-09-02,2898,120,661,2211,17,77,0.04251469923111714,0.18085106382978725,0.8191489361702128,94,-0.03031342942118509
46,Syria,,2020-09-07,3229,137,744,2448,17,83,0.04084967320261438,0.17,0.83,100,0.010851063829787178
47,Syria,,2020-09-12,3506,152,827,2625,15,83,0.037333333333333336,0.15306122448979592,0.8469387755102041,98,0.016938775510204174
48,Syria,,2020-09-17,3691,165,903,2712,13,76,0.03281710914454277,0.14606741573033707,0.8539325842696629,89,0.006993808759458764
49,Syria,,2020-09-22,3877,178,983,2809,13,80,0.03310786756852972,0.13978494623655913,0.8602150537634409,93,0.006282469493777976
50,Syria,,2020-09-27,4072,192,1062,2911,14,79,0.03194778426657506,0.15053763440860216,0.8494623655913979,93,-0.010752688172043001
51,Syria,,2020-10-02,4289,203,1130,3035,11,68,0.026029654036243823,0.13924050632911392,0.8607594936708861,79,0.011297128079488239
52,Syria,,2020-10-07,4504,212,1198,3171,9,68,0.024282560706401765,0.11688311688311688,0.8831168831168831,77,0.022357389445996967
53,Syria,,2020-10-12,4774,228,1331,3364,16,133,0.04429250891795482,0.10738255033557047,0.8926174496644296,149,0.009500566547546496
54,Syria,,2020-10-17,5033,245,1494,3474,17,163,0.05181347150259067,0.09444444444444444,0.9055555555555556,180,0.012938105891125984
55,Syria,,2020-10-22,5267,260,1655,3528,15,161,0.049886621315192746,0.08522727272727272,0.9147727272727273,176,0.009217171717171735
56,Syria,,2020-10-27,5528,275,1821,3613,15,166,0.050096872405203434,0.08287292817679558,0.9171270718232044,181,0.0023543445504771165
57,Syria,,2020-11-01,5789,292,2021,3693,17,200,0.05875981586785811,0.07834101382488479,0.9216589861751152,217,0.004531914351910804
58,Syria,,2020-11-06,6102,309,2254,3789,17,233,0.06598046978094484,0.068,0.932,250,0.010341013824884837
59,Syria,,2020-11-11,6421,329,2504,3858,20,250,0.06998444790046657,0.07407407407407407,0.9259259259259259,270,-0.006074074074074121
60,Syria,,2020-11-16,6759,350,2759,3926,21,255,0.07030056036678553,0.07608695652173914,0.9239130434782609,276,-0.0020128824476650653
61,Syria,,2020-11-21,7154,372,3043,4045,22,284,0.07564894932014833,0.0718954248366013,0.9281045751633987,306,0.0041915316851378615
62,Syria,,2020-11-26,7542,399,3330,4127,27,287,0.0760843227526048,0.08598726114649681,0.9140127388535032,314,-0.014091836309895522
63,Syria,,2020-12-01,7973,422,3624,4244,23,294,0.07469368520263903,0.07255520504731862,0.9274447949526814,317,0.013432056099178191
64,Syria,,2020-12-06,8403,447,3943,4357,25,319,0.07895340830846913,0.07267441860465117,0.9273255813953488,344,-0.00011921355733257588
65,Syria,,2020-12-11,8911,491,4243,4521,44,300,0.0760893607608936,0.12790697674418605,0.872093023255814,344,-0.05523255813953487
66,Syria,,2020-12-16,9603,554,4548,4869,63,305,0.07558020127336208,0.17119565217391305,0.8288043478260869,368,-0.04328867542972703
67,Syria,,2020-12-21,10318,621,4835,5216,67,287,0.0678680981595092,0.18926553672316385,0.8107344632768362,354,-0.018069884549250737
68,Syria,,2020-12-26,10932,669,5093,5476,48,258,0.05588020452885318,0.1568627450980392,0.8431372549019608,306,0.032402791625124605
69,Syria,,2020-12-31,11434,711,5350,5672,42,257,0.05271509167842031,0.14046822742474915,0.8595317725752508,299,0.016394517673290032
70,Syria,,2021-01-05,11890,741,5686,5829,30,336,0.06278950077200206,0.08196721311475409,0.9180327868852459,366,0.0585010143099951
71,Syria,,2021-01-10,12364,774,6029,5937,33,343,0.06333164898096681,0.08776595744680851,0.9122340425531915,376,-0.005798744332054406
72,Syria,,2021-01-15,12850,817,6405,6047,43,376,0.06929055730114106,0.1026252983293556,0.8973747016706444,419,-0.014859340882547145
73,Syria,,2021-01-20,13313,858,6773,6091,41,368,0.06714825151863404,0.10024449877750612,0.8997555012224939,409,0.002380799551849555
74,Syria,,2021-01-25,13697,890,7121,6066,32,348,0.06264424662050774,0.08421052631578947,0.9157894736842105,380,0.01603397246171656
75,Syria,,2021-01-30,13998,916,7481,5987,26,360,0.06447302488725572,0.06735751295336788,0.9326424870466321,386,0.01685301336242162
