Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Russia,Chukotka Autonomous Okrug,2020-06-09,110,1,68,110,1,68,0.6272727272727273,0.014492753623188406,0.9855072463768116,69,
8,Russia,Chukotka Autonomous Okrug,2020-06-29,138,1,125,69,0,57,0.8260869565217391,0.0,1.0,57,0.01449275362318836
9,Russia,Chukotka Autonomous Okrug,2020-07-19,146,1,143,20,0,18,0.9,0.0,1.0,18,0.0
10,Russia,Chukotka Autonomous Okrug,2020-08-08,160,1,149,16,0,6,0.375,0.0,1.0,6,0.0
11,Russia,Chukotka Autonomous Okrug,2020-08-28,171,2,161,21,1,12,0.6190476190476191,0.07692307692307693,0.9230769230769231,13,-0.07692307692307687
12,Russia,Chukotka Autonomous Okrug,2020-09-17,180,2,170,17,0,9,0.5294117647058824,0.0,1.0,9,0.07692307692307687
13,Russia,Chukotka Autonomous Okrug,2020-10-07,202,2,185,30,0,15,0.5,0.0,1.0,15,0.0
14,Russia,Chukotka Autonomous Okrug,2020-10-27,233,2,208,46,0,23,0.5,0.0,1.0,23,0.0
15,Russia,Chukotka Autonomous Okrug,2020-11-16,291,3,240,81,1,32,0.4074074074074074,0.030303030303030304,0.9696969696969697,33,-0.030303030303030276
16,Russia,Chukotka Autonomous Okrug,2020-12-06,417,4,368,174,1,128,0.7413793103448276,0.007751937984496124,0.9922480620155039,129,0.02255109231853414
17,Russia,Chukotka Autonomous Okrug,2020-12-26,527,4,456,155,0,88,0.567741935483871,0.0,1.0,88,0.007751937984496138
18,Russia,Chukotka Autonomous Okrug,2021-01-15,578,4,512,118,0,56,0.4745762711864407,0.0,1.0,56,0.0
19,Russia,Chukotka Autonomous Okrug,2021-02-04,646,4,583,130,0,71,0.5461538461538461,0.0,1.0,71,0.0
20,Russia,Chukotka Autonomous Okrug,2021-02-24,686,4,636,99,0,53,0.5353535353535354,0.0,1.0,53,0.0
21,Russia,Chukotka Autonomous Okrug,2021-03-16,709,5,673,69,1,37,0.5507246376811594,0.02631578947368421,0.9736842105263158,38,-0.02631578947368418
22,Russia,Chukotka Autonomous Okrug,2021-04-05,734,5,695,56,0,22,0.39285714285714285,0.0,1.0,22,0.02631578947368418
23,Russia,Chukotka Autonomous Okrug,2021-04-25,746,7,733,46,2,38,0.8695652173913043,0.05,0.95,40,-0.050000000000000044
24,Russia,Chukotka Autonomous Okrug,2021-05-15,756,7,733,16,0,0,0.0,,,0,
25,Russia,Chukotka Autonomous Okrug,2021-06-04,773,7,735,33,0,2,0.06060606060606061,0.0,1.0,2,
26,Russia,Chukotka Autonomous Okrug,2021-06-24,797,8,746,55,1,11,0.21818181818181817,0.08333333333333333,0.9166666666666666,12,-0.08333333333333337
27,Russia,Chukotka Autonomous Okrug,2021-07-13,928,8,765,174,0,19,0.10919540229885058,0.0,1.0,19,0.08333333333333337
