Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Ghana,,2020-03-31,161,5,31,161,5,31,0.2236024844720497,0.1388888888888889,0.8611111111111112,36,
4,Ghana,,2020-04-30,2074,17,212,2038,12,181,0.09470068694798822,0.06217616580310881,0.9378238341968912,193,0.07671272308578003
5,Ghana,,2020-05-31,8070,36,2947,7841,19,2735,0.35123071036857545,0.006899055918663762,0.9931009440813362,2754,0.05527710988444501
6,Ghana,,2020-06-30,17741,112,13268,14758,76,10321,0.7044992546415504,0.007309800904106954,0.9926901990958931,10397,-0.0004107449854431344
7,Ghana,,2020-07-31,35501,182,32096,22121,70,18828,0.8543013426156141,0.0037040956714996295,0.9962959043285003,18898,0.0036057052326072814
8,Ghana,,2020-08-31,44298,276,42963,12020,94,10867,0.9118968386023294,0.008575859866800475,0.9914241401331996,10961,-0.004871764195300776
9,Ghana,,2020-09-30,46626,301,45757,3387,25,2794,0.8322999704753469,0.00886839304717985,0.9911316069528201,2819,-0.00029253318037947285
10,Ghana,,2020-10-31,48055,320,47169,1997,19,1412,0.7165748622934401,0.013277428371767994,0.986722571628232,1431,-0.00440903532458814
11,Ghana,,2020-11-30,51667,323,50547,4178,3,3378,0.8092388702728578,0.0008873114463176575,0.9991126885536823,3381,0.012390116925450334
12,Ghana,,2020-12-31,54771,335,53594,3901,12,3047,0.7841579082286593,0.003922850604772802,0.9960771493952272,3059,-0.003035539158455114
13,Ghana,,2021-01-31,67010,416,61236,13081,81,7642,0.5903982875926916,0.010488152272432992,0.9895118477275671,7723,-0.006565301667660117
14,Ghana,,2021-02-17,78271,565,69775,16619,149,8539,0.5227751368915097,0.01715009208103131,0.9828499079189686,8688,-0.006661939808598416
